log_id,log_line,true_label,predicted_severity,explanation,raw_response
1,Failed password for invalid user admin from 203.0.113.45 port 51422 ssh2,MEDIUM,HIGH,"This shows a failed SSH login attempt for a common administrative username from an external IP, indicating a potential brute force attack or unauthorized access attempt.","SEVERITY: HIGH
EXPLANATION: This shows a failed SSH login attempt for a common administrative username from an external IP, indicating a potential brute force attack or unauthorized access attempt."
2,GET /wp-login.php HTTP/1.1 200 - User-Agent: Mozilla/5.0,LOW,MEDIUM,"This shows a successful access (HTTP 200) to a WordPress login page, which is commonly targeted for brute force attacks and reconnaissance, warranting monitoring but not immediate critical response without additional context like failed login attempts or known malicious IP.","SEVERITY: MEDIUM
EXPLANATION: This shows a successful access (HTTP 200) to a WordPress login page, which is commonly targeted for brute force attacks and reconnaissance, warranting monitoring but not immediate critical response without additional context like failed login attempts or known malicious IP."
3,Multiple failed login attempts (15) for user root from 198.51.100.9 within 60 seconds,HIGH,HIGH,Multiple failed login attempts to the root account from a single IP address within a short timeframe indicates a likely brute-force attack targeting the most privileged system account.,"SEVERITY: HIGH
EXPLANATION: Multiple failed login attempts to the root account from a single IP address within a short timeframe indicates a likely brute-force attack targeting the most privileged system account."
4,Outbound connection to known C2 domain evil-c2-server.net on port 4444 from host 10.0.0.23,CRITICAL,CRITICAL,"An outbound connection to a known command and control (C2) server indicates an active compromise where malware on the internal host is communicating with attacker infrastructure, requiring immediate incident response.","SEVERITY: CRITICAL
EXPLANATION: An outbound connection to a known command and control (C2) server indicates an active compromise where malware on the internal host is communicating with attacker infrastructure, requiring immediate incident response."
5,User bob logged in successfully from 10.0.0.5,LOW,LOW,"This is a normal, successful authentication event from an internal IP address with no indicators of suspicious activity or security concern.","SEVERITY: LOW
EXPLANATION: This is a normal, successful authentication event from an internal IP address with no indicators of suspicious activity or security concern."
6,SQL injection attempt detected: ' OR '1'='1' -- in login form field 'username',HIGH,HIGH,"This is an active SQL injection attack attempt targeting authentication, which could lead to unauthorized access and data breach if successful.","SEVERITY: HIGH
EXPLANATION: This is an active SQL injection attack attempt targeting authentication, which could lead to unauthorized access and data breach if successful."
7,Large outbound data transfer: 2.3GB to unknown external IP 45.33.32.156 over 10 minutes,CRITICAL,HIGH,A large volume of data being transferred to an unknown external IP address in a short timeframe is a strong indicator of potential data exfiltration or compromise that requires immediate investigation.,"SEVERITY: HIGH
EXPLANATION: A large volume of data being transferred to an unknown external IP address in a short timeframe is a strong indicator of potential data exfiltration or compromise that requires immediate investigation."
8,Antivirus definitions updated successfully on host WIN-DESKTOP-04,LOW,LOW,"This is a routine, successful system maintenance event indicating normal security operations with no threat or issue present.","SEVERITY: LOW
EXPLANATION: This is a routine, successful system maintenance event indicating normal security operations with no threat or issue present."
9,Privilege escalation attempt: user 'guest' attempted to run sudo su on host db-prod-01,HIGH,CRITICAL,A guest user attempting privilege escalation to root access on a production database server represents an immediate security threat that could lead to complete system compromise and data breach.,"SEVERITY: CRITICAL
EXPLANATION: A guest user attempting privilege escalation to root access on a production database server represents an immediate security threat that could lead to complete system compromise and data breach."
10,DNS query for domain suspicious-payload-drop.xyz from internal host 10.0.0.77,MEDIUM,HIGH,An internal host is querying a domain with a highly suspicious name indicating potential malware command-and-control or payload delivery activity that requires immediate investigation.,"SEVERITY: HIGH
EXPLANATION: An internal host is querying a domain with a highly suspicious name indicating potential malware command-and-control or payload delivery activity that requires immediate investigation."
